sequence,position,username,responded_on,value
depends,0,admin,2024-07-01 07:10:25.079368,B
depends_loc_adjusted,0,admin,2024-07-04 20:54:21.199752,U
depends_loc_adjusted,0,chipmunk,2024-07-05 12:06:45.991403,U
depends_loc_adjusted,0,wildcat,2024-07-08 02:12:17.570638,B
depends_loc_adjusted,1,chipmunk,2024-07-05 12:17:04.612971,A
depends_loc_adjusted,1,wildcat,2024-07-08 03:39:28.994004,U
depends_loc_adjusted,2,chipmunk,2024-07-05 12:17:43.247134,U
depends_loc_adjusted,2,wildcat,2024-07-08 03:41:11.662431,A
depends_loc_adjusted,3,chipmunk,2024-07-05 12:18:41.700749,A
depends_loc_adjusted,3,wildcat,2024-07-08 03:44:26.823676,A
depends_loc_adjusted,4,chipmunk,2024-07-05 12:19:49.715839,B
depends_loc_adjusted,4,wildcat,2024-07-08 03:49:49.859672,B
depends_loc_adjusted,5,chipmunk,2024-07-05 12:21:03.746828,B
depends_loc_adjusted,5,wildcat,2024-07-08 03:50:22.935739,B
depends_loc_adjusted,6,chipmunk,2024-07-05 12:38:24.079658,A
depends_loc_adjusted,6,wildcat,2024-07-08 03:53:35.169032,U
depends_loc_adjusted,7,chipmunk,2024-07-05 12:38:50.639740,A
depends_loc_adjusted,7,wildcat,2024-07-08 03:57:17.713143,U
depends_loc_adjusted,8,chipmunk,2024-07-05 12:39:32.358955,B
depends_loc_adjusted,8,wildcat,2024-07-08 04:00:59.806966,U
depends_loc_adjusted,9,chipmunk,2024-07-05 12:41:50.026773,B
depends_loc_adjusted,9,wildcat,2024-07-08 04:03:47.744667,A
depends_loc_adjusted,10,chipmunk,2024-07-05 12:50:57.976899,B
depends_loc_adjusted,10,wildcat,2024-07-08 04:05:45.138385,A
depends_loc_adjusted,11,chipmunk,2024-07-05 12:53:21.571717,A
depends_loc_adjusted,11,wildcat,2024-07-08 04:07:15.688741,B
depends_loc_adjusted,12,chipmunk,2024-07-05 12:53:56.752986,U
depends_loc_adjusted,12,wildcat,2024-07-08 04:08:28.246283,B
depends_loc_adjusted,13,chipmunk,2024-07-05 12:55:13.384417,B
depends_loc_adjusted,13,wildcat,2024-07-08 04:13:47.041029,B
depends_loc_adjusted,14,chipmunk,2024-07-05 12:55:46.376384,U
depends_loc_adjusted,14,wildcat,2024-07-08 04:16:11.778839,U
depends_loc_adjusted,15,chipmunk,2024-07-05 12:57:01.029550,A
depends_loc_adjusted,16,chipmunk,2024-07-05 12:57:40.982133,U
depends_loc_adjusted,17,chipmunk,2024-07-05 13:02:12.348542,A
depends_loc_adjusted,18,chipmunk,2024-07-05 13:04:57.281214,A
depends_loc_adjusted,19,chipmunk,2024-07-05 13:05:38.016487,A
depends_loc_adjusted,20,chipmunk,2024-07-05 13:06:45.038760,U
depends_loc_adjusted,21,chipmunk,2024-07-05 13:08:07.860935,A
depends_loc_adjusted,22,chipmunk,2024-07-05 13:08:28.107194,U
